id,Location,return_date,start_ date,FF2,item_description,quantity,cost_amount
169,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,DVD ROCKY BALBOA BLKBUSTER,1,4.99
170,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,DVD ROCKY BALBOA BLKBUSTER,0,0.45
171,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,DVD MICHAEL CLAYTON BLKBSTER,1,4.99
172,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,DVD MICHAEL CLAYTON BLKBSTER,0,0.45
173,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,DVD AMELIA BLOCKBUSTER,1,4.99
174,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,DVD AMELIA BLOCKBUSTER,0,0.45
175,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,DVD 21 BLOCKBUSTER,1,4.99
176,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,DVD 21 BLOCKBUSTER,0,0.45
177,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,5_SHLF OAK BKCASE SLVTN ARMY,1,104.99
178,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,5_SHLF OAK BKCASE SLVTN ARMY,0,9.19
179,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,GLSS/WOOD CREDENZA SLVTN ARMY,1,139.99
180,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,GLSS/WOOD CREDENZA SLVTN ARMY,0,12.25
181,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,IVORY SOFA SALVATION ARMY,1,179.99
182,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,IVORY SOFA SALVATION ARMY,0,15.75
183,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,FRMCA TBL/4X CHAIRS SLVTN ARMY,2,149.99
184,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,FRMCA TBL/4X CHAIRS SLVTN ARMY,0,13.12
185,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,WOOD TBL/4X CHAIRS SLVTN ARMY,2,324.99
186,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,WOOD TBL/4X CHAIRS SLVTN ARMY,0,28.43
187,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,SHERBERT CHAIR SALVATION ARMY,3,129.99
188,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,SHERBERT CHAIR SALVATION ARMY,0,11.37
189,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,LOW WOOD DRESSER SLVTN ARMY,1,169.99
190,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,LOW WOOD DRESSER SLVTN ARMY,0,14.87
191,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,ELECTRIC PIANO SALVATION ARMY,1,199.99
192,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,ELECTRIC PIANO SALVATION ARMY,0,5.99
193,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/20,2011/4/19,LP,HEADBOARD/FRAME SLVTN ARMY,1,199.99
194,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/20,2011/4/19,TAX,HEADBOARD/FRAME SLVTN ARMY,0,17.5
195,2790_1512 INT SAUSALITO ARMS APT (STG),2011/5/15,2011/5/10,LP,TV CAB W/GLS DRS SALV ARMY,1,139.99
196,2790_1512 INT SAUSALITO ARMS APT (STG),2011/5/15,2011/5/10,TAX,TV CAB W/GLS DRS SALV ARMY,0,12.25
197,2790_1512 INT SAUSALITO ARMS APT (STG),2011/5/15,2011/5/10,LP,DNNR TBL W/CHAIRS SALV ARMY,1,149.99
198,2790_1512 INT SAUSALITO ARMS APT (STG),2011/5/15,2011/5/10,TAX,DNNR TBL W/CHAIRS SALV ARMY,0,13.12
199,2790_1512 INT SAUSALITO ARMS APT (STG),2011/5/15,2011/5/10,LP,WOOD FRM SOFA SALV ARMY,2,159.99
